Question,Answer,QType
How many people are affected by familial HDL deficiency ?,"Familial HDL deficiency is a rare disorder, although the prevalence is unknown.",frequency
What are the symptoms of Neuhauser Daly Magnelli syndrome ?,"What are the signs and symptoms of Neuhauser Daly Magnelli syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Neuhauser Daly Magnelli syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the gastric mucosa 90% Nystagmus 90% Incoordination 50% Abnormality of the cerebellum - Autosomal dominant inheritance - Duodenal ulcer - Tremor - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What are the genetic changes related to essential tremor ?,"The causes of essential tremor are unknown. Researchers are studying several areas (loci) on particular chromosomes that may be linked to essential tremor, but no specific genetic associations have been confirmed. Several genes as well as environmental factors likely help determine an individual's risk of developing this complex condition. The specific changes in the nervous system that account for the signs and symptoms of essential tremor are unknown.",genetic changes
What is (are) Lymphomatoid papulosis ?,Lymphomatoid papulosis is a skin disorder that is characterized by crops of self healing skin lesions that look cancerous under the microscope but are actually benign (non-cancerous). Lesions contain unusual cells that are similar to those found in some lymphomas (cancers of the lymphatic system).,information
What is (are) Voice Disorders ?,"Voice is the sound made by air passing from your lungs through your larynx, or voice box. In your larynx are your vocal cords, two bands of muscle that vibrate to make sound. For most of us, our voices play a big part in who we are, what we do, and how we communicate. Like fingerprints, each person's voice is unique.    Many things we do can injure our vocal cords. Talking too much, screaming, constantly clearing your throat, or smoking can make you hoarse. They can also lead to problems such as nodules, polyps, and sores on the vocal cords. Other causes of voice disorders include infections, upward movement of stomach acids into the throat, growths due to a virus, cancer, and diseases that paralyze the vocal cords.    Signs that your voice isn't healthy include       - Your voice has become hoarse or raspy    - You've lost the ability to hit some high notes when singing    - Your voice suddenly sounds deeper    - Your throat often feels raw, achy, or strained    - It's become an effort to talk       Treatment for voice disorders varies depending on the cause. Most voice problems can be successfully treated when diagnosed early.    NIH: National Institute on Deafness and Other Communication Disorders",information
What is (are) Parasites - Echinococcosis ?,"Frequently Asked Questions (FAQs)
    
Cystic echinococcosis (CE) disease results from being infected with the larval stage of Echinococcus granulosus, a tiny tapeworm (~2-7 millimeters in length) found in dogs (definitive host), sheep, cattle, goats, foxes, and pigs, amongst others (intermediate hosts). Most infections in humans are asymptomatic, but CE, also known as hydatid disease, causes slowly enlarging masses, most commonly in the liver and the lungs. Treatment can involve both medication and surgery.
    
More on: Cystic Echinococcosis (CE) FAQs
    
Alveolar echinococcosis (AE) disease results from being infected with the larval stage of Echinococcus multilocularis, a tiny tapeworm (~1-4 millimeters in length) found in foxes, coyotes, dogs, and cats (definitive hosts). Although human cases are rare, infection in humans causes parasitic tumors to form in the liver, and, less commonly, the lungs, brain, and other organs. If left untreated, infection with AE can be fatal.
    
More on: Alveolar Echinococcosis (AE) FAQs",information
How many people are affected by optic atrophy type 1 ?,"Optic atrophy type 1 is estimated to affect 1 in 50,000 people worldwide. This condition is more common in Denmark, where it affects approximately 1 in 10,000 people.",frequency
What are the symptoms of Lenz Majewski hyperostotic dwarfism ?,"What are the signs and symptoms of Lenz Majewski hyperostotic dwarfism? The Human Phenotype Ontology provides the following list of signs and symptoms for Lenz Majewski hyperostotic dwarfism. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormal cortical bone morphology 90% Abnormality of dental enamel 90% Abnormality of the clavicle 90% Abnormality of the fontanelles or cranial sutures 90% Abnormality of the metaphyses 90% Abnormality of the ribs 90% Brachydactyly syndrome 90% Broad forehead 90% Choanal atresia 90% Cognitive impairment 90% Craniofacial hyperostosis 90% Cutis laxa 90% Delayed skeletal maturation 90% Finger syndactyly 90% Hypertelorism 90% Increased bone mineral density 90% Joint hypermobility 90% Macrocephaly 90% Macrotia 90% Mandibular prognathia 90% Prematurely aged appearance 90% Short stature 90% Symphalangism affecting the phalanges of the hand 90% Abnormality of the metacarpal bones 50% Cryptorchidism 50% Displacement of the external urethral meatus 50% Hernia of the abdominal wall 50% Humeroradial synostosis 50% Lacrimation abnormality 50% Thick lower lip vermilion 50% Wide mouth 50% Abnormality of the fingernails 7.5% Aplasia/Hypoplasia of the corpus callosum 7.5% Cleft palate 7.5% Facial palsy 7.5% Hydrocephalus 7.5% Kyphosis 7.5% Limitation of joint mobility 7.5% Muscular hypotonia 7.5% Scoliosis 7.5% Microcephaly 5% Abnormality of the teeth - Agenesis of corpus callosum - Anteriorly placed anus - Aplasia/Hypoplasia of the middle phalanges of the hand - Autosomal dominant inheritance - Broad clavicles - Broad ribs - Choanal stenosis - Chordee - Cutis marmorata - Delayed cranial suture closure - Diaphyseal thickening - Elbow flexion contracture - Failure to thrive - Flared metaphysis - Frontal bossing - Hyperextensibility of the finger joints - Hypospadias - Inguinal hernia - Intellectual disability - Intellectual disability, moderate - Intrauterine growth retardation - Knee flexion contracture - Lacrimal duct stenosis - Large fontanelles - Microglossia - Progressive sclerosis of skull base - Prominent forehead - Prominent scalp veins - Proximal symphalangism (hands) - Relative macrocephaly - Sensorineural hearing impairment - Sparse hair - Sporadic - Syndactyly - Thin skin - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What are the symptoms of Mandibuloacral dysplasia with type A lipodystrophy ?,"What are the signs and symptoms of Mandibuloacral dysplasia with type A lipodystrophy? The Human Phenotype Ontology provides the following list of signs and symptoms for Mandibuloacral dysplasia with type A lipodystrophy. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the clavicle 90% Abnormality of the teeth 90% Alopecia 90% Aplasia/Hypoplasia of the skin 90% Limitation of joint mobility 90% Osteolysis 90% Prematurely aged appearance 90% Short distal phalanx of finger 90% Short stature 90% Wormian bones 90% Abnormality of lipid metabolism 50% Abnormality of the eyebrow 50% Insulin resistance 50% Proptosis 50% Abnormality of skin pigmentation 7.5% Abnormality of the palate 7.5% Arthralgia 7.5% Breast aplasia 7.5% Cataract 7.5% Hearing impairment 7.5% Lack of skin elasticity 7.5% Muscular hypotonia 7.5% Acroosteolysis of distal phalanges (feet) - Autosomal recessive inheritance - Bird-like facies - Calcinosis - Decreased subcutaneous fat - Delayed cranial suture closure - Dental crowding - Dermal atrophy - Flexion contracture - Full cheeks - Glucose intolerance - Heterogeneous - High palate - Hyperglycemia - Hyperinsulinemia - Hyperlipidemia - Hypoplasia of teeth - Increased adipose tissue around the neck - Increased facial adipose tissue - Insulin-resistant diabetes mellitus - Joint stiffness - Juvenile onset - Lipodystrophy - Loss of subcutaneous adipose tissue in limbs - Mottled pigmentation - Narrow nasal ridge - Osteolytic defects of the distal phalanges of the hand - Postnatal growth retardation - Premature loss of teeth - Progressive clavicular acroosteolysis - Short clavicles - Sparse scalp hair - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What is (are) Learning Disorders ?,"Learning disorders affect how a person understands, remembers and responds to new information. People with learning disorders may have problems       - Listening or paying attention    - Speaking    - Reading or writing    - Doing math       Although learning disorders occur in very young children, they are usually not recognized until the child reaches school age. About one-third of children who have learning disabilities also have ADHD, which makes it hard to focus.     Evaluation and testing by a trained professional can help identify a learning disorder. The next step is special education, which involves helping your child in the areas where he or she needs the most help. Sometimes tutors or speech or language therapists also work with the children. Learning disorders do not go away, but strategies to work around them can make them less of a problem.    NIH: National Institute of Neurological Disorders and Stroke",information
What is (are) Leber hereditary optic neuropathy ?,"Leber hereditary optic neuropathy (LHON) is an inherited form of vision loss. Although this condition usually begins in a person's teens or twenties, rare cases may appear in early childhood or later in adulthood. For unknown reasons, males are affected much more often than females.  Blurring and clouding of vision are usually the first symptoms of LHON. These vision problems may begin in one eye or simultaneously in both eyes; if vision loss starts in one eye, the other eye is usually affected within several weeks or months. Over time, vision in both eyes worsens with a severe loss of sharpness (visual acuity) and color vision. This condition mainly affects central vision, which is needed for detailed tasks such as reading, driving, and recognizing faces. Vision loss results from the death of cells in the nerve that relays visual information from the eyes to the brain (the optic nerve). Although central vision gradually improves in a small percentage of cases, in most cases the vision loss is profound and permanent.  Vision loss is typically the only symptom of LHON; however, some families with additional signs and symptoms have been reported. In these individuals, the condition is described as ""LHON plus."" In addition to vision loss, the features of LHON plus can include movement disorders, tremors, and abnormalities of the electrical signals that control the heartbeat (cardiac conduction defects). Some affected individuals develop features similar to multiple sclerosis, which is a chronic disorder characterized by muscle weakness, poor coordination, numbness, and a variety of other health problems.",information
What is (are) Myotonic dystrophy ?,"Myotonic dystrophy is an inherited condition that affects the muscles and other body systems. It is the most common form of muscular dystrophy that begins in adulthood, usually in a person's 20s or 30s. This condition is characterized by progressive muscle loss and weakness, particularly in the lower legs, hands, neck, and face. People with myotonic dystrophy often have prolonged muscle tensing (myotonia) and are not able to relax certain muscles after use. The severity of the condition varies widely among affected people, even among members of the same family. There are two types of myotonic dystrophy: myotonic dystrophy type 1 and myotonic dystrophy type 2. The symptoms in people with myotonic dystrophy type 2 tend to be milder than in those with type 1. Although both types are inherited in an autosomal dominant pattern, they are caused by mutations in different genes. Myotonic dystrophy type 1 is caused by mutations in the DMPK gene, while type 2 is caused by mutations in the CNBP gene.",information
What are the genetic changes related to Cornelia de Lange syndrome ?,"Cornelia de Lange syndrome can result from mutations in at least five genes: NIPBL, SMC1A, HDAC8, RAD21, and SMC3. Mutations in the NIPBL gene have been identified in more than half of all people with this condition; mutations in the other genes are much less common.  The proteins produced from all five genes contribute to the structure or function of the cohesin complex, a group of proteins with an important role in directing development before birth. Within cells, the cohesin complex helps regulate the structure and organization of chromosomes, stabilize cells' genetic information, and repair damaged DNA. The cohesin complex also regulates the activity of certain genes that guide the development of limbs, face, and other parts of the body.  Mutations in the NIPBL, SMC1A, HDAC8, RAD21, and SMC3 genes cause Cornelia de Lange syndrome by impairing the function of the cohesin complex, which disrupts gene regulation during critical stages of early development.  The features of Cornelia de Lange syndrome vary widely, and the severity of the disorder can differ even in individuals with the same gene mutation. Researchers suspect that additional genetic or environmental factors may be important for determining the specific signs and symptoms in each individual. In general, SMC1A, RAD21, and SMC3 gene mutations cause milder signs and symptoms than NIPBL gene mutations. Mutations in the HDAC8 gene cause a somewhat different set of features, including delayed closure of the ""soft spot"" on the head (the anterior fontanelle) in infancy, widely spaced eyes, and dental abnormalities. Like affected individuals with NIPBL gene mutations, those with HDAC8 gene mutations may have significant intellectual disability.  In about 30 percent of cases, the cause of Cornelia de Lange syndrome is unknown. Researchers are looking for additional changes in the five known genes, as well as mutations in other genes, that may cause this condition.",genetic changes
What to do for What I need to know about Kidney Failure and How Its Treated ?,"Eating healthy foods can help you keep up your energy and strength. All dialysis and transplant centers have a dietitian. The dietitian helps people with kidney failure learn about healthy food choices. You should talk with your centers dietitian to make a meal plan.
                
The best diet for you will depend on which kidney failure treatment you choose after talking with your doctor.
                
- Hemodialysis      - Limit how much liquid and water you drink. Fluid can build up in your body between hemodialysis sessions. Also, many foods contain water. The extra fluid in your body can cause swelling and high blood pressure. Extra fluid in your body makes your heart work harder.
                
-      - Limit sodium, or salt. Watch out for sodium in frozen foods and prepared meals. You can also find sodium in canned foods, hot dogs, and fast food. Sodium makes you thirsty, which makes you drink more water and other liquids than you should.    - Read more in the National Kidney Disease Education Program (NKDEP) fact sheet Sodium.    - Limit potassium. Potassium is found in many fruits and vegetables such as potatoes, tomatoes, oranges, and bananas. Too much potassium can make your heart beat unevenly. Hemodialysis does not remove potassium from your body well.    - Read more in the NKDEP fact sheet Potassium.    - Eat protein-rich foods such as meat, fish, and eggs. Hemodialysis removes protein from your body.    - Read more in the NKDEP fact sheet Protein.    - Limit phosphorus. Phosphorus helps your bones, blood vessels, and muscles work.    - However, too much phosphorus can make your bones weak. Limiting phosphorus can be hard. Foods that contain phosphorus, such as meat and milk, also contain protein that you need. You should be careful to eat enough protein, yet not so much that you get too much phosphorus. You can avoid other foods that contain phosphorus, such as cola, tea, beans, and nuts.    - Read more in the NKDEP fact sheet Phosphorus.    - Find healthy ways to add calories to your diet. Calories are found in all foods and give your body energy. Many people on hemodialysis do not have a good appetite and do not get enough calories. Vegetable oils are good sources of calories. Vegetable oils include olive oil, canola oil, and safflower oil. Use them on breads, rice, and noodles. Hard candy, sugar, honey, jam, and jelly provide calories and energy. However, if you have diabetes, speak with your doctor or dietitian before eating extra sweets.    - More information about nutrition for people who are on hemodialysis is provided in the NIDDK health topic, Eat Right to Feel Right on Hemodialysis.    - Peritoneal dialysis      - Drink as much water and other liquids as you need. If you are holding too much fluid or too little fluid, your doctor needs to know.    - Limit sodium to control your thirst and help prevent heart problems. You can use spices other than salt to flavor your food.
                
-      - You may need to eat more potassium-rich foods. Peritoneal dialysis removes potassium from your body. Talk with your doctor or dietitian about the right amount of potassium for you.    - Eat protein-rich foods. Peritoneal dialysis removes even more protein from your body than hemodialysis.    - Limit phosphorus to keep your bones strong.    - You may need to limit your calorie intake. The salty water also contains some sugar. Your body absorbs the sugar, which can cause you to gain weight.    - Kidney transplant      - Limit sodium to help prevent heart problems.    - You should be able to eat normal amounts of phosphorus and potassium. You may need to adjust the amounts if blood tests show a problem.
                
-      - Eat protein-rich foods to repair muscle breakdown and protect against infection.    - You may need to limit your calories. The medicines you take can make you gain weight.    - Conservative management      - Limit protein to prevent the buildup of wastes in your blood.
                
You may have other needs and limits, depending on how well your treatments work.",considerations
What is (are) primary carnitine deficiency ?,"Primary carnitine deficiency is a condition that prevents the body from using certain fats for energy, particularly during periods without food (fasting). Carnitine, a natural substance acquired mostly through the diet, is used by cells to process fats and produce energy.  Signs and symptoms of primary carnitine deficiency typically appear during infancy or early childhood and can include severe brain dysfunction (encephalopathy), a weakened and enlarged heart (cardiomyopathy), confusion, vomiting, muscle weakness, and low blood sugar (hypoglycemia). The severity of this condition varies among affected individuals. Some people with primary carnitine deficiency are asymptomatic, which means they do not have any signs or symptoms of the condition. All individuals with this disorder are at risk for heart failure, liver problems, coma, and sudden death.  Problems related to primary carnitine deficiency can be triggered by periods of fasting or by illnesses such as viral infections. This disorder is sometimes mistaken for Reye syndrome, a severe disorder that may develop in children while they appear to be recovering from viral infections such as chicken pox or flu. Most cases of Reye syndrome are associated with the use of aspirin during these viral infections.",information
What are the symptoms of Laryngomalacia ?,"What are the signs and symptoms of Laryngomalacia? The Human Phenotype Ontology provides the following list of signs and symptoms for Laryngomalacia. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the voice 90% Laryngomalacia 90% Cleft palate 50% Non-midline cleft lip 50% Abnormality of the trachea - Autosomal dominant inheritance - Congenital laryngeal stridor - Respiratory distress - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What are the symptoms of Thin basement membrane nephropathy ?,"What are the signs and symptoms of Thin basement membrane nephropathy? The Human Phenotype Ontology provides the following list of signs and symptoms for Thin basement membrane nephropathy. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal dominant inheritance - Hematuria - Nonprogressive - Thin glomerular basement membrane - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What is (are) Prescription and Illicit Drug Abuse ?,"Physical dependence is a normal process that can happen to anyone taking a medication for a long time. It means that the body (including the brain) is adapting to the presence of the drug, and the person may require a higher dosage or a different medication to get relief; this condition is known as tolerance. They may also suffer from withdrawal or feel sick when they stop taking the medication abruptly. However, the symptoms of withdrawal can usually be prevented or managed by a physician, which is why it is so important to talk to a doctor before stopping a medication. Someone who is addicted to a drug may also be physically dependent on it, but rather than benefitting from the drugs effects, an addicted person will continue to get worse with continued or increasing drug abuse. An addicted person compulsively seeks and abuses drugs, despite their negative consequences.",information
Is dopa-responsive dystonia inherited ?,"When dopa-responsive dystonia is caused by mutations in the GCH1 gene, it is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In some cases, an affected person inherits the mutation from one affected parent. Other cases result from new mutations in the gene and occur in people with no history of the disorder in their family.  Some people who inherit the altered GCH1 gene never develop features of dopa-responsive dystonia. (This situation is known as reduced penetrance.) It is unclear why some people with a mutated gene develop the disease and other people with a mutated gene do not. For unknown reasons, dopa-responsive dystonia caused by mutations in the GCH1 gene affects females two to four times more often than males.  When TH gene mutations are responsible for causing dopa-responsive dystonia, it is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.  When dopa-responsive dystonia is caused by mutations in the SPR gene, it can have either an autosomal recessive or, less commonly, an autosomal dominant pattern of inheritance.",inheritance
What is (are) Peripheral Arterial Disease (P.A.D.) ?,"Arteries Clogged With Plaque Peripheral arterial disease (P.A.D.) is a disease in which plaque (plak) builds up in the arteries that carry blood to your head, organs, and limbs. Plaque is made up of fat, cholesterol, calcium, fibrous tissue, and other substances in the blood. When plaque builds up in the body's arteries, the condition is called atherosclerosis (ATH-er-o-skler-O-sis). Over time, plaque can harden and narrow the arteries. This limits the flow of oxygen-rich blood to your organs and other parts of your body. P.A.D. usually affects the arteries in the legs, but it can also affect the arteries that carry blood from your heart to your head, arms, kidneys, and stomach. Blocked blood flow to your legs can cause pain and numbness. It also can raise your risk of getting an infection in the affected limbs. Your body may have a hard time fighting the infection. Why is P.A.D. Dangerous? Over time, the plaque may crack and cause blood clots to form. These blood clots can block arteries, causing pain, numbness, inflammation, and even permanent tissue damage in the affected part of the body. If severe enough, blocked blood flow can cause tissue death (also called gangrene.) In very serious cases, this can lead to leg amputation. P.A.D. currently affects 8 million to 12 million Americans. About 1 in every 20 Americans over the age of 50 has P.A.D. African Americans are more than twice as likely as Caucasians to have P.A.D. If you have P.A.D., your risk of coronary artery disease, heart attack, stroke, and transient ischemic attack (""mini-stroke"") is much higher than in people without P.A.D. If you have coronary artery disease, you have a 1 in 3 chance of having blocked leg arteries. Although P.A.D. is serious, it is treatable. If you have the disease, it's important to see your doctor regularly and treat the underlying atherosclerosis. Other Names for Peripheral Arterial Disease -  Atherosclerotic peripheral arterial disease   -  Claudication (klaw-dih-KA-shen)   -  Hardening of the arteries   -  Leg cramps from poor circulation   -  Peripheral vascular disease   -  Poor circulation   -  Vascular disease  Atherosclerotic peripheral arterial disease Claudication (klaw-dih-KA-shen) Hardening of the arteries Leg cramps from poor circulation Peripheral vascular disease Poor circulation Vascular disease",information
What are the symptoms of Baraitser Brett Piesowicz syndrome ?,"What are the signs and symptoms of Baraitser Brett Piesowicz syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for Baraitser Brett Piesowicz syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Cerebral calcification 90% Hyperreflexia 90% Hypertonia 90% Microcephaly 90% Seizures 90% Abnormality of movement 50% Cerebral cortical atrophy 50% Cataract 5% Opacification of the corneal stroma 5% Renal insufficiency 5% Anteverted nares - Autosomal recessive inheritance - Cerebellar hypoplasia - Decreased liver function - Elevated hepatic transaminases - Failure to thrive - Hepatomegaly - High palate - Increased CSF protein - Intellectual disability, profound - Jaundice - Lissencephaly - Long philtrum - Low-set ears - Microretrognathia - Muscular hypotonia of the trunk - Nystagmus - Pachygyria - Petechiae - Phenotypic variability - Polymicrogyria - Sloping forehead - Spasticity - Splenomegaly - Thrombocytopenia - Ventriculomegaly - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.",symptoms
What are the treatments for triple A syndrome ?,These resources address the diagnosis or management of triple A syndrome:  - Genetic Testing Registry: Glucocorticoid deficiency with achalasia  - MedlinePlus Encyclopedia: Achalasia  - MedlinePlus Encyclopedia: Anisocoria   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,treatment
What are the genetic changes related to leukocyte adhesion deficiency type 1 ?,"Mutations in the ITGB2 gene cause leukocyte adhesion deficiency type 1. This gene provides instructions for making one part (the 2 subunit) of at least four different proteins known as 2 integrins. Integrins that contain the 2 subunit are found embedded in the membrane that surrounds white blood cells (leukocytes). These integrins help leukocytes gather at sites of infection or injury, where they contribute to the immune response. 2 integrins recognize signs of inflammation and attach (bind) to proteins called ligands on the lining of blood vessels. This binding leads to linkage (adhesion) of the leukocyte to the blood vessel wall. Signaling through the 2 integrins triggers the transport of the attached leukocyte across the blood vessel wall to the site of infection or injury.  ITGB2 gene mutations that cause leukocyte adhesion deficiency type 1 lead to the production of a 2 subunit that cannot bind with other subunits to form 2 integrins. Leukocytes that lack these integrins cannot attach to the blood vessel wall or cross the vessel wall to contribute to the immune response. As a result, there is a decreased response to injury and foreign invaders, such as bacteria and fungi, resulting in frequent infections, delayed wound healing, and other signs and symptoms of this condition.",genetic changes
What is (are) Disseminated Intravascular Coagulation ?,"Disseminated intravascular coagulation (ko-ag-u-LA-shun), or DIC, is a condition in which blood clots form throughout the body's small blood vessels. These blood clots can reduce or block blood flow through the blood vessels, which can damage the body's organs.
                
In DIC, the increased clotting uses up platelets (PLATE-lets) and clotting factors in the blood. Platelets are blood cell fragments that stick together to seal small cuts and breaks on blood vessel walls and stop bleeding. Clotting factors are proteins needed for normal blood clotting.
                
With fewer platelets and clotting factors in the blood, serious bleeding can occur. DIC can cause internal and external bleeding.
                
Internal bleeding occurs inside the body. External bleeding occurs underneath or from the skin or mucosa. (The mucosa is the tissue that lines some organs and body cavities, such as your nose and mouth.)
                
DIC can cause life-threatening bleeding.
                
Overview
                
To understand DIC, it helps to understand the body's normal blood clotting process. Your body has a system to control bleeding. When small cuts or breaks occur on blood vessel walls, your body activates clotting factors. These clotting factors, such as thrombin and fibrin, work with platelets to form blood clots.
                
Blood clots seal the small cuts or breaks on the blood vessel walls. After bleeding stops and the vessels heal, your body breaks down and removes the clots.
                
Some diseases and conditions can cause clotting factors to become overactive, leading to DIC. These diseases and conditions include:
                
Sepsis (an infection in the bloodstream)
                
Surgery and trauma
                
Cancer
                
Serious complications of pregnancy and childbirth
                
Examples of less common causes of DIC are bites from poisonous snakes (such as rattlesnakes and other vipers), frostbite, and burns.
                
The two types of DIC are acute and chronic. Acute DIC develops quickly (over hours or days) and must be treated right away. The condition begins with excessive blood clotting in the small blood vessels and quickly leads to serious bleeding.
                
Chronic DIC develops slowly (over weeks or months). It lasts longer and usually isn't recognized as quickly as acute DIC. Chronic DIC causes excessive blood clotting, but it usually doesn't lead to bleeding. Cancer is the most common cause of chronic DIC.
                
Treatment for DIC involves treating the clotting and bleeding problems and the underlying cause of the condition.
                
People who have acute DIC may need blood transfusions, medicines, and other life-saving measures. People who have chronic DIC may need medicines to help prevent blood clots from forming in their small blood vessels.
                
Outlook
                
The outlook for DIC depends on its severity and underlying cause. Acute DIC can damage the body's organs and even cause death if it's not treated right away. Chronic DIC also can damage the body's organs.
                
Researchers are looking for ways to prevent DIC or diagnose it early. They're also studying the use of various clotting proteins and medicines to treat the condition.",information
